# Measured G1 fall: two deliberate falls, peak tilt 81.15 deg, yaw spun at 0.7 rad/s to exercise yaw invariance.
t_s,qw,qx,qy,qz
6.7637,-0.710660864,-0.077850734,0.076141273,0.695056045
6.7842,-0.715504476,-0.079528414,0.076673431,0.689818643
6.8071,-0.720986209,-0.080356829,0.076238908,0.684038957
6.8275,-0.725598895,-0.083137259,0.077756502,0.678637138
6.8477,-0.730234929,-0.084930225,0.078315096,0.673357670
6.8682,-0.734907082,-0.086688058,0.078792706,0.667973406
6.8889,-0.739582061,-0.088478506,0.079257119,0.662501500
6.9089,-0.744026402,-0.090482464,0.079917693,0.657153558
6.9299,-0.748659861,-0.092506861,0.080503167,0.651513725
6.9513,-0.753351536,-0.094449836,0.080958873,0.645744805
6.9723,-0.757881098,-0.096594776,0.081573522,0.640024571
6.9926,-0.762270688,-0.098253642,0.081785577,0.634508266
7.0127,-0.766491430,-0.100549877,0.082506417,0.628946183
7.0335,-0.770877307,-0.102454421,0.082828511,0.623210002
7.0601,-0.776470742,-0.104530368,0.082909551,0.615867352
7.0807,-0.780745160,-0.106202707,0.082995613,0.610139090
7.1018,-0.785079717,-0.107909698,0.083053336,0.604241242
7.1227,-0.789282157,-0.109934779,0.083338557,0.598333273
7.1431,-0.793338532,-0.111922205,0.083593560,0.592536505
7.1637,-0.797403161,-0.113838728,0.083753185,0.586663743
7.1843,-0.801411203,-0.115839228,0.083944475,0.580753546
7.2113,-0.806595409,-0.118466882,0.084152796,0.572964005
7.2314,-0.810379860,-0.120587244,0.084388916,0.567117016
7.2520,-0.814227391,-0.122663576,0.084531034,0.561107750
7.2728,-0.818061199,-0.124789376,0.084662745,0.555009645
7.2929,-0.821721656,-0.126839919,0.084757061,0.549091427
7.3140,-0.825515460,-0.128999939,0.084829123,0.542851049
7.3351,-0.829269573,-0.131100830,0.084830478,0.536589543
7.3555,-0.832865950,-0.133047951,0.084748857,0.530518787
7.3763,-0.836503609,-0.134922228,0.084568323,0.524314698
7.3965,-0.840033276,-0.136482289,0.084208044,0.518291121
7.4167,-0.843562402,-0.137775084,0.083666627,0.512269846
7.4368,-0.847060902,-0.138876255,0.083003707,0.506272257
7.4573,-0.850565674,-0.140112546,0.082383995,0.500119372
7.4781,-0.853966458,-0.142022581,0.082121602,0.493788333
7.4983,-0.857222296,-0.143879731,0.081843624,0.487616836
7.5185,-0.860412945,-0.145850039,0.081605031,0.481412452
7.5391,-0.863600267,-0.147967740,0.081394682,0.475052664
7.5596,-0.866670989,-0.150377787,0.081320469,0.468673553
7.5821,-0.869950596,-0.153211816,0.081300237,0.461630124
7.6057,-0.873309707,-0.156267910,0.081274869,0.454207983
7.6260,-0.876101991,-0.159130999,0.081332767,0.447780759
7.6477,-0.879029184,-0.162193325,0.081350269,0.440889048
7.6681,-0.881668886,-0.165381328,0.081476623,0.434362237
7.6883,-0.884201615,-0.168681675,0.081625654,0.427868261
7.7093,-0.886725176,-0.172378778,0.081856551,0.421074251
7.7300,-0.889117272,-0.176203973,0.082113855,0.414342795
7.7544,-0.891960755,-0.180209707,0.082114757,0.406432824
7.7747,-0.893815699,-0.185718642,0.083036590,0.399633591
7.7954,-0.895892954,-0.190099462,0.083348009,0.392799082
7.8176,-0.898109047,-0.194514433,0.083487886,0.385478985
7.8389,-0.900138770,-0.198875341,0.083609473,0.378428658
7.8591,-0.901864710,-0.203612036,0.083911856,0.371673222
7.8812,-0.903981243,-0.207467798,0.083629493,0.364391455
7.9016,-0.905737750,-0.211610156,0.083547871,0.357603164
7.9219,-0.907583379,-0.215055484,0.083146921,0.350899042
7.9434,-0.909510602,-0.218556493,0.082615473,0.343799661
7.9640,-0.911281689,-0.221973825,0.082083061,0.336980229
7.9841,-0.912953442,-0.225304188,0.081517489,0.330316416
8.0154,-0.915836884,-0.228922818,0.080001682,0.320057615
8.0398,-0.916207414,-0.238723314,0.081145733,0.311433017
8.0616,-0.916954576,-0.245403089,0.081332880,0.303902273
8.0876,-0.918133927,-0.251846594,0.080932456,0.295048001
8.1084,-0.917893620,-0.260893939,0.081749294,0.287615556
8.1317,-0.918928457,-0.266014492,0.080977467,0.279730996
8.1519,-0.918271463,-0.275442234,0.081724067,0.272452332
8.1721,-0.918430703,-0.281762027,0.081436236,0.265449324
8.1927,-0.918642126,-0.287756459,0.080925367,0.258348504
8.2155,-0.918912802,-0.293958011,0.080143727,0.250529306
8.2359,-0.918338705,-0.301738161,0.079954784,0.243342016
8.2560,-0.917666358,-0.309387931,0.079656765,0.236267567
8.2775,-0.915921135,-0.320164294,0.079867273,0.228483079
8.3065,-0.913311958,-0.334595301,0.079868693,0.218009734
8.3268,-0.910219987,-0.347500034,0.080343802,0.210447560
8.3492,-0.906497768,-0.361807249,0.080668831,0.202113461
8.3700,-0.900219647,-0.381171541,0.082078121,0.193845366
8.3917,-0.891997067,-0.403858421,0.083758978,0.184997413
8.4136,-0.882208325,-0.428325972,0.085414476,0.175925269
8.4344,-0.869758387,-0.456090331,0.087503686,0.166868402
8.4549,-0.856778002,-0.482739057,0.089030102,0.158012973
8.4757,-0.840642389,-0.512809149,0.090720739,0.148717508
8.5042,-0.827781740,-0.536431545,0.089390913,0.137941488
8.5250,-0.800562088,-0.578266587,0.092040812,0.127422864
8.5462,-0.781208112,-0.606017356,0.091852612,0.118405859
8.5667,-0.766724878,-0.625901782,0.090277306,0.110589006
8.5871,-0.761548828,-0.633744573,0.086794159,0.104297525
8.6078,-0.763086559,-0.633391690,0.082075339,0.098881291
8.6288,-0.768809181,-0.627885053,0.076673741,0.093882591
8.6494,-0.775345887,-0.621152524,0.071310212,0.089012082
8.6710,-0.781762267,-0.614407822,0.065833747,0.083765762
8.6984,-0.787190648,-0.609033583,0.059356089,0.076719182
8.7185,-0.796732313,-0.597593829,0.054000036,0.071994675
8.7390,-0.804093701,-0.588701612,0.048940787,0.066847071
8.7610,-0.811652856,-0.579283054,0.043669253,0.061186450
8.7816,-0.819693095,-0.568754714,0.038753701,0.055852093
8.8023,-0.825449145,-0.561197931,0.034155991,0.050239019
8.8224,-0.829476791,-0.555951151,0.029912693,0.044629613
8.8435,-0.831685773,-0.553308552,0.025674041,0.038591008
8.8637,-0.832439799,-0.552720967,0.021731842,0.032729806
8.8879,-0.831330814,-0.554922546,0.017112405,0.025636136
8.9084,-0.829122163,-0.558566999,0.013214091,0.019614649
8.9294,-0.826135018,-0.563236344,0.009183067,0.013469396
8.9598,-0.820780289,-0.571215942,0.003234632,0.004647843
8.9799,-0.817011810,-0.576619302,-0.000791298,-0.001121191
9.0045,-0.813969036,-0.580822490,-0.005798146,-0.008125566
9.0257,-0.810777142,-0.585096245,-0.010183046,-0.014110808
9.0469,-0.808951307,-0.587351482,-0.014582395,-0.020084137
9.0677,-0.807816074,-0.588560095,-0.018900635,-0.025941678
9.0888,-0.807196113,-0.588961795,-0.023268624,-0.031890596
9.1114,-0.806911417,-0.588769176,-0.027926990,-0.038274094
9.1322,-0.807060057,-0.587934886,-0.032178794,-0.044171931
9.1534,-0.807398289,-0.586734079,-0.036481522,-0.050201819
9.1744,-0.807858243,-0.585277610,-0.040711417,-0.056193938
9.1959,-0.808220324,-0.583838042,-0.045028339,-0.062333757
9.2197,-0.808465561,-0.582344045,-0.049796124,-0.069131730
9.2398,-0.808641746,-0.581030590,-0.053803819,-0.074880763
9.2605,-0.808578328,-0.579928602,-0.057942299,-0.080787337
9.2809,-0.808246818,-0.579129172,-0.062041748,-0.086586979
9.3022,-0.807609160,-0.578608280,-0.066352510,-0.092613426
9.3232,-0.806729524,-0.578352094,-0.070633663,-0.098525209
9.3439,-0.805640915,-0.578318129,-0.074885760,-0.104321530
9.3646,-0.804331201,-0.578501873,-0.079175147,-0.110082688
9.3850,-0.802921095,-0.578760149,-0.083424446,-0.115735764
9.4061,-0.801404800,-0.579014729,-0.087830701,-0.121565034
9.4281,-0.799987002,-0.578954648,-0.092387554,-0.127659122
9.4491,-0.798794403,-0.578581363,-0.096694080,-0.133496677
9.4692,-0.797788094,-0.577952258,-0.100773360,-0.139104546
9.4896,-0.796898958,-0.577046252,-0.104866131,-0.144819779
9.5105,-0.796022411,-0.575981728,-0.109031003,-0.150683811
9.5313,-0.795190359,-0.574777260,-0.113143351,-0.156531074
9.5517,-0.794278796,-0.573641516,-0.117180361,-0.162250942
9.5735,-0.793211089,-0.572462888,-0.121496953,-0.168347561
9.5937,-0.792106790,-0.571443070,-0.125509015,-0.173974536
9.6139,-0.790875922,-0.570515220,-0.129539995,-0.179574636
9.6341,-0.789537859,-0.569652645,-0.133586104,-0.185150174
9.6545,-0.788058279,-0.568874838,-0.137696107,-0.190749441
